length_sku_key,current_bucket,od_mm,thickness_mm,length_mm,length_m,grade,cut_type,material_codes,plants,codes_not_in_bucketting,plan_note,on_megh_tab,schedule_mt,stock_mt,what_is_needed,assign_length_bucket,assign_bucket,assign_material_code,remark
25.4-0-2-5.84-ERW 1-FC,25.4-0-2-ERW 1-FC,25.4,2,5840.0,5.84,ERW 1,Non fin cut,3673890,056,,,Yes,32.0,27.5,complete,,,,
48.6-0-3.5-6.05-ERW 1-FC,48.6-0-3.5-ERW 1-FC,48.6,3.5,6050.0,6.05,ERW 1,Fin cut,3502422,056,,,Yes,20.0,47.268,complete,,,,
54-0-3-5.91-ERW 1-FC,54-0-3-ERW 1-FC,54,3,5910.0,5.91,HST,Fin cut,3500391,0788,,,Yes,20.0,48.836,complete,,,,
19.05-0-2-5.8-ERW 1-NFC,19.05-0-2-ERW 1-PE,19.05,2,5800.0,5.8,ERW 1,Non fin cut,1940292,0789,,,Yes,17.0,4.707,complete,,,,
34.93-0-1.2-5.1-ERW 1-FC,34.93-0-1.2-ERW 1-FC,34.93,1.2,5100.0,5.1,ERW 1,Fin cut,4172674,056,,,Yes,17.0,10.945,complete,,,,
19.05-0-1.6-6-ERW 1-NFC,19.05-0-1.6-ERW 1-PE,19.05,1.6,6000.0,6.0,ERW 1,Non fin cut,"2405716, 3498997","056, 0789",,,Yes,15.0,11.778,complete,,,,
31.75-0-2.3-5.92-ERW 1-FC,31.75-0-2.3-ERW 1-FC,31.75,2.3,5920.0,5.92,ERW 1,Fin cut,1940684,0789,,,Yes,15.0,1.958,complete,,,,
40-30-1.6-5.9-ERW 1-FC,40-30-1.6-ERW 1-FC,44.45,1.6,5900.0,5.9,ERW 1,Fin cut,4164767,0789,,,Yes,15.0,0.0,complete,,,,
60.3-0-2-5.9-ERW 1-FC,60.3-0-2-ERW 1-FC,60.3,2,5900.0,5.9,ERW 1,Fin cut,3905049,0788,,,Yes,15.0,0.0,complete,,,,
40-25-1.6-5.99-ERW 1-FC,40-25-1.6-ERW 1-FC,41.28,1.6,5990.0,5.99,ERW 1,Fin cut,3597718,0789,,,Yes,13.0,13.88,complete,,,,
50-50-1.6-6.06-ERW 1-NFC,50-50-1.6-ERW 1-PE,63.5,1.6,6060.0,6.06,ERW 1,Fin cut,3751498,0788,,,Yes,13.0,0.784,complete,,,,
22.23-0-1.2-5.87-ERW 1-NFC,22.23-0-1.2-ERW 1-PE,22.23,1.2,5870.0,5.87,ERW 1,Non fin cut,3882110,056,,,Yes,10.0,21.038,complete,,,,
22.23-0-1.6-5.27-ERW 1-NFC,22.23-0-1.6-ERW 1-PE,22.23,1.6,5270.0,5.27,ERW 1,Non fin cut,3575894,0789,,,Yes,10.0,36.788,complete,,,,
22.23-0-2-5.4-ERW 1-FC,22.23-0-2-ERW 1-FC,22.23,2,5400.0,5.4,ERW 1,Fin cut,2431251,0789,,,Yes,10.0,34.185,complete,,,,
25.4-0-1.6-6-ERW 1-FC,25.4-0-1.6-ERW 1-FC,25.4,1.6,6000.0,6.0,ERW 1,Non fin cut,3500097,056,,,Yes,10.0,41.071,complete,,,,
25.4-0-2.5-5.95-ERW 1-FC,25.4-0-2.5-ERW 1-FC,25.4,2.5,5950.0,5.95,ERW 1,Fin cut,3682066,056,,,Yes,10.0,0.0,complete,,,,
38.1-0-2-5.65-ERW 1-FC,38.1-0-2-ERW 1-FC,38.1,2,5650.0,5.65,ERW 1,Fin cut,3500959,056,,,Yes,10.0,42.444,complete,,,,
12.7-0-1.2-6-ERW 1-NFC,12.7-0-1.2-ERW 1-PE,12.7,1.2,6000.0,6.0,ERW 1,Non fin cut,1939985,0789,,,Yes,6.0,10.275,complete,,,,
15.88-0-1.2-6-ERW 1-NFC,15.88-0-1.2-ERW 1-PE,15.88,1.2,6000.0,6.0,ERW 1,Non fin cut,1940054,0789,,,Yes,5.0,1.569,complete,,,,
18.2-0-1-6.145-ERW 1-NFC,18.2-0-1-ERW 1-PE,18.2,1,6145.0,6.145,ERW 1,Non fin cut,2288945,0789,,,Yes,5.0,6.256,complete,,,,
21.4-0-1.6-6-ERW 1-NFC,21.4-0-1.6-ERW 1-PE,21.4,1.6,6000.0,6.0,ERW 1,Non fin cut,3219710,0789,,,Yes,5.0,0.0,complete,,,,
19.05-0-2.3-6-ERW 1-NFC,19.05-0-2.3-ERW 1-PE,19.05,2.3,6000.0,6.0,ERW 1,Non fin cut,3499232,056,,,Yes,4.0,0.0,complete,,,,
